iter	RMSE
0	0.4959674767
1	0.4930455156
2	0.4893856977
3	0.4860313009
4	0.4826305101
5	0.4793608693
6	0.4764307625
7	0.473279988
8	0.4704714497
9	0.4678590889
10	0.4654905429
11	0.4630700308
12	0.4611231949
13	0.4593155327
14	0.4577353603
15	0.4559245975
16	0.4543107449
17	0.4528477702
18	0.4516359316
19	0.4504126159
20	0.4491487752
21	0.4479961311
22	0.4468879668
23	0.4457516473
24	0.4446090213
25	0.4438400913
26	0.442996241
27	0.4421920039
28	0.441357275
29	0.4404704072
30	0.4397993738
31	0.4391758579
32	0.4384724021
33	0.4378405639
34	0.4370995221
35	0.4366491709
36	0.4360143104
37	0.4355860427
38	0.4351405956
39	0.4347900676
40	0.434264393
41	0.4337303881
42	0.4332615939
43	0.4329809623
44	0.4323403246
45	0.4318253557
46	0.4314265617
47	0.4310343626
48	0.4307403825
49	0.4305528849
50	0.4302613617
51	0.4300031137
52	0.4296402759
53	0.4295530973
54	0.4294474343
55	0.4291629985
56	0.4289019057
57	0.4286070046
58	0.4283545941
59	0.4281137102
60	0.4277970441
61	0.4275098677
62	0.4272394191
63	0.4270562479
64	0.4267407195
65	0.4265057809
66	0.4261864038
67	0.4259904155
68	0.4256865682
69	0.4256079362
70	0.4253575926
71	0.4252486852
72	0.4250847917
73	0.4248184522
74	0.4246634316
75	0.4245761738
76	0.4244455772
77	0.424312195
78	0.424111957
79	0.4238090636
80	0.4237799234
81	0.4235242451
82	0.4233339505
83	0.4231679558
84	0.4229696596
85	0.4228003279
86	0.4226927485
87	0.4225949349
88	0.4224495052
89	0.4222761011
90	0.4220647502
91	0.4219159134
92	0.4217603676
93	0.4216578882
94	0.4215063973
95	0.4214543364
96	0.421360814
97	0.4211783536
98	0.4209780714
99	0.4208391749
100	0.4206974986
101	0.4205221399
102	0.4203084289
103	0.4201826951
104	0.4200443779
105	0.4199241425
106	0.4198811577
107	0.4196658257
108	0.4194481695
109	0.4193964139
110	0.419155672
111	0.4189503197
112	0.4189311469
113	0.4188075144
114	0.4187919018
115	0.4186638123
116	0.4185659177
117	0.4184556609
118	0.4183688684
119	0.4181834534
120	0.4181810891
121	0.4180682944
122	0.4179794482
123	0.4178326216
124	0.4177698486
125	0.4176189916
126	0.4175505505
127	0.4174595521
128	0.4173667222
129	0.417223157
130	0.4170954022
131	0.4170131798
132	0.4169441881
133	0.4167637706
134	0.4167622323
135	0.4167287909
136	0.4165476623
137	0.4163985359
138	0.416253545
139	0.416084073
140	0.4159667911
141	0.4158295887
142	0.4158056304
143	0.4157164934
144	0.4155609494
145	0.4153862073
146	0.4152834307
147	0.4150939306
148	0.4150710198
149	0.4149894183
150	0.4147871807
151	0.4146772389
152	0.4145781758
153	0.4144879296
154	0.4144500238
155	0.4144314451
156	0.4142477982
157	0.4140408386
158	0.4139060431
159	0.413843625
160	0.4136578589
161	0.4134401418
162	0.4132419245
163	0.4131254152
164	0.4129287632
165	0.4127769902
166	0.4125667879
167	0.4124499746
168	0.4122957341
169	0.4120898491
170	0.4119298141
171	0.411833553
172	0.4117119569
173	0.4116253136
174	0.4115580417
175	0.4114236708
176	0.4113926298
177	0.4113551658
178	0.4112809857
179	0.4110581938
180	0.4110006187
181	0.410904929
182	0.4108176211
183	0.4107347213
184	0.4106366636
185	0.4103086475
186	0.4102282358
187	0.4101581799
188	0.4099860134
189	0.4098672828
190	0.4096731381
191	0.4095180898
192	0.4093933163
193	0.4092680352
194	0.4092157662
195	0.4090389153
196	0.4089690784
197	0.4088732201
198	0.4085972982
199	0.4084737812
200	0.4084247679
201	0.4082140183
202	0.4080210038
203	0.4080205136
204	0.4078275381
205	0.4076963094
206	0.4075908387
207	0.4072331517
208	0.4071891982
209	0.4070222279
210	0.4069417627
211	0.4068744221
212	0.406652863
213	0.4063630525
214	0.4062361865
215	0.4062056459
216	0.4059928381
217	0.4058181038
218	0.4056702176
219	0.4055297853
220	0.4053195942
221	0.4052104861
222	0.4049830353
223	0.404882403
224	0.4048618507
225	0.4047525567
226	0.4046725229
227	0.4043860404
228	0.4043026539
229	0.4042148739
230	0.4041863493
231	0.4041752028
232	0.4041596487
233	0.4039940642
234	0.4038461424
235	0.4038312129
236	0.4036922718
237	0.4035560911
238	0.4033951203
239	0.4032530051
240	0.4031321101
241	0.403123053
242	0.4031059432
243	0.4028030672
244	0.4026448754
245	0.40253285
246	0.4024902414
247	0.4022118602
248	0.4021997805
249	0.4021382801
250	0.4020885475
251	0.4019659562
252	0.4016545736
253	0.4015075987
254	0.4014822746
255	0.4012701222
256	0.4011227541
257	0.4010841837
258	0.4009067713
259	0.4007491407
260	0.4005800438
261	0.4005515637
262	0.4002218885
263	0.4001982627
264	0.4000528192
265	0.399968632
266	0.3999537668
267	0.3998449414
268	0.3996105862
269	0.3991917789
270	0.3990627735
271	0.3989080756
272	0.398786908
273	0.3986430803
274	0.3984646109
275	0.3982809755
276	0.3982688525
277	0.3980941491
278	0.3978682113
279	0.3977075439
280	0.3975928845
281	0.397293039
282	0.3972450774
283	0.3971993605
284	0.3970529754
285	0.3967732161
286	0.3965980491
287	0.3962915514
288	0.3962796042
289	0.396197919
290	0.3958942641
291	0.3957182815
292	0.3956630359
293	0.3955989049
294	0.3953300296
295	0.3951238465
296	0.395103493
297	0.3948838066
298	0.3947654568
299	0.3947001855
300	0.3946907408
301	0.3945943188
302	0.394541882
303	0.3943935015
304	0.3943868973
305	0.3942468876
306	0.3941168182
307	0.3941040718
308	0.3939289739
309	0.3938889936
310	0.3937813157
311	0.3935436861
312	0.3934513214
313	0.3934446775
314	0.3932948472
315	0.3930160845
316	0.3926917604
317	0.3925534525
318	0.3922562293
319	0.3921157203
320	0.3920793569
321	0.3919123412
322	0.3917551306
323	0.3916033981
324	0.3914650391
325	0.3913239786
326	0.3913148769
327	0.3911384528
328	0.3907660917
329	0.3907210659
330	0.3906817873
331	0.3905338319
332	0.3902953514
333	0.3902884114
334	0.3900992478
335	0.3900082684
336	0.3898399408
337	0.389742866
338	0.3896099953
339	0.3893791948
340	0.3891017381
341	0.3889849787
342	0.3889142261
343	0.3886923527
344	0.3885843281
345	0.3885037212
346	0.3884011678
347	0.3882829429
348	0.3881640559
349	0.3879878739
350	0.3878505767
351	0.3878427989
352	0.3877686277
353	0.3876764414
354	0.38751282
355	0.3873712712
356	0.3871311184
357	0.3869617169
358	0.3868290252
359	0.3866177063
360	0.3863309332
361	0.3862527591
362	0.3860192425
363	0.3859916
364	0.3858768894
365	0.3858560133
366	0.3857854453
367	0.3857759388
368	0.3855304887
369	0.3853838944
370	0.3852685455
371	0.3851288144
372	0.3850690656
373	0.3849993948
374	0.3849123109
375	0.3849011134
376	0.384815674
377	0.3846609743
378	0.3844263687
379	0.3843360378
380	0.3841907772
381	0.384128941
382	0.3841231557
383	0.3839754736
384	0.3838372751
385	0.383773778
386	0.3836785967
387	0.3836095725
388	0.3835281818
389	0.3833468432
390	0.3831854775
391	0.3831049651
392	0.3830875277
393	0.3830803924
394	0.3830714357
395	0.3829784305
396	0.3828959939
397	0.3825622212
398	0.3823134359
399	0.3821492681
400	0.3820240157
401	0.3819167304
402	0.3819016751
403	0.3816887802
404	0.3815482338
405	0.3813974198
406	0.3812967108
407	0.3812212874
408	0.3809167049
409	0.3807399562
410	0.3805306052
411	0.3804180034
412	0.3803986471
413	0.380323722
414	0.3802542925
415	0.3801486934
416	0.3800115113
417	0.379733448
418	0.3795466476
419	0.379387271
420	0.3792322608
421	0.3790886941
422	0.3789188065
423	0.3788967349
424	0.3787754924
425	0.3787456791
426	0.3786213261
427	0.3784571772
428	0.3782397488
429	0.3780808647
430	0.3777647992
431	0.3775347731
432	0.3773687074
433	0.3772402604
434	0.3770229696
435	0.3768889957
436	0.3766181598
437	0.3764261757
438	0.3763612961
439	0.3762023279
440	0.3760788486
441	0.3760645112
442	0.3759602163
443	0.3758263203
444	0.3756104672
445	0.37555696
446	0.3753418032
447	0.3751425573
448	0.3750413168
449	0.3749094698
450	0.3747131038
451	0.3746633917
452	0.3745313494
453	0.37436575
454	0.3741946138
455	0.3740904479
456	0.3738950698
457	0.3736925062
458	0.3735637419
459	0.3735145599
460	0.3734954983
461	0.3733067859
462	0.3732000411
463	0.3731292329
464	0.3730797651
465	0.3730455209
466	0.3730289708
467	0.3727675911
468	0.3726215911
469	0.3725599947
470	0.3723812966
471	0.372351249
472	0.3721010489
473	0.3720207188
474	0.3718909703
475	0.3718700222
476	0.3717570419
477	0.3716532875
478	0.3715600514
479	0.3714845536
480	0.3714201053
481	0.3713012054
482	0.3710835478
483	0.3709530141
484	0.3708530476
485	0.3707210573
486	0.3706114528
487	0.3704693909
488	0.3704036409
489	0.3703393993
490	0.3702238668
491	0.3700396766
492	0.3699132951
493	0.3697221242
494	0.3695804317
495	0.3694993163
496	0.3693298392
497	0.3692664704
498	0.3691798411
499	0.3691102615
500	0.3689774587
501	0.3688130252
502	0.3687155427
503	0.3686067219
504	0.3685346395
505	0.3684017894
506	0.3683779398
507	0.3682094258
508	0.3680118224
509	0.3679826507
510	0.3679290026
511	0.3677804152
512	0.3677747613
513	0.3677055445
514	0.3676233977
515	0.3676125486
516	0.3675697454
517	0.3675076974
518	0.3674697486
519	0.3673745986
520	0.3673254178
521	0.3672663541
522	0.3672587858
523	0.3671378553
524	0.3671121515
525	0.3669563759
526	0.366926231
527	0.3669220446
528	0.3669010015
529	0.3667764898
530	0.3666774742
531	0.3666038255
532	0.3664755493
533	0.3663473968
534	0.3661567051
535	0.3660666092
536	0.3660109091
537	0.3658717563
538	0.36586775
539	0.3657601252
540	0.3656378855
541	0.3655982233
542	0.3655799622
543	0.3655400939
544	0.3654699032
545	0.3654472348
546	0.3653695287
547	0.3652381436
548	0.3651884447
549	0.3650329673
550	0.3649201337
551	0.3647378976
552	0.3646857606
553	0.3645541534
554	0.364397653
555	0.3643452986
556	0.3642817463
557	0.3641853959
558	0.3641813619
559	0.363947831
560	0.363852398
561	0.3638273303
562	0.3636488206
563	0.363636611
564	0.3635174143
565	0.3634937128
566	0.3634686672
567	0.3632706652
568	0.3632357462
569	0.3631752577
570	0.3631613888
571	0.3630869735
572	0.3630494011
573	0.362989383
574	0.3628730656
575	0.362820019
576	0.3627448498
577	0.3627230812
578	0.3625619253
579	0.3625311268
580	0.362392699
581	0.3622659963
582	0.362216469
583	0.3621311281
584	0.3619680067
585	0.361846179
586	0.3617756263
587	0.361592791
588	0.3614342411
589	0.3612966907
590	0.3612678734
591	0.3612602954
592	0.3610433775
593	0.361039575
594	0.3609153413
595	0.3608929764
596	0.3607726062
597	0.360640801
598	0.3605343465
599	0.360467364
600	0.3603637855
601	0.3602804127
602	0.3601727343
603	0.3600893665
604	0.3600837913
605	0.3600431755
606	0.3599117745
607	0.359757724
608	0.3596137831
609	0.3595398219
610	0.3594900374
611	0.3594242268
612	0.3593610245
613	0.3591979587
614	0.3590792458
615	0.3589838234
616	0.3589802922
617	0.3589724758
618	0.3588612461
619	0.3587357792
620	0.3586034852
621	0.3584959687
622	0.3584625351
623	0.3584417399
624	0.3583556849
625	0.3582615885
626	0.3582035074
627	0.3581273763
628	0.3580706315
629	0.3579298527
630	0.3577410992
631	0.3576259976
632	0.3575762964
633	0.357571343
634	0.3575276958
635	0.3573681344
636	0.3572733335
637	0.3572320326
638	0.3570314809
639	0.3569285243
640	0.3568376253
641	0.356769681
642	0.3565460157
643	0.3564501395
644	0.3563311817
645	0.3562743938
646	0.3561563528
647	0.3559906404
648	0.3559419911
649	0.3558453401
650	0.3557395476
651	0.3556448767
652	0.3554854152
653	0.3554643142
654	0.3553888016
655	0.3552970709
656	0.3552324116
657	0.3551656145
658	0.3550425969
659	0.3550154517
660	0.3549915783
661	0.3549458829
662	0.3548908189
663	0.3548251399
664	0.3548137747
665	0.3547019976
666	0.3545747165
667	0.3543633928
668	0.3542838481
669	0.3541344181
670	0.3539683357
671	0.3538844713
672	0.3538410639
673	0.3537873915
674	0.353695406
675	0.3535704809
676	0.3535557561
677	0.3534827253
678	0.3533665086
679	0.3533271868
680	0.3533163197
681	0.3532713337
682	0.3532479987
683	0.3531987732
684	0.3529453916
685	0.3528633901
686	0.3527903361
687	0.3527293314
688	0.3525820862
689	0.3525168583
690	0.3524837062
691	0.3524636108
692	0.3524425102
693	0.352409006
694	0.3523580508
695	0.3522437737
696	0.3521129115
697	0.3519958449
698	0.3519073428
699	0.3518544882
700	0.3517449279
701	0.3516369315
702	0.351526973
703	0.3515020038
704	0.3513347335
705	0.3512511824
706	0.3512458484
707	0.351162903
708	0.3510000327
709	0.3509923393
710	0.3509344472
711	0.35091442
712	0.3507847324
713	0.3507001216
714	0.350668163
715	0.3506186001
716	0.3504645806
717	0.3503470079
718	0.3503297821
719	0.3501410397
720	0.3500100196
721	0.3499815588
722	0.3498948117
723	0.3498022106
724	0.3497473814
725	0.3496938204
726	0.349537958
727	0.3493735568
728	0.3493437182
729	0.3493398812
730	0.3492837825
731	0.3492151078
732	0.3492062515
733	0.3491972494
734	0.3491191503
735	0.3490727034
736	0.3490606491
737	0.3489779681
738	0.3488919486
739	0.348828894
740	0.3487117055
741	0.348569464
742	0.3485652091
743	0.3484497183
744	0.3484284225
745	0.3483124853
746	0.3481639141
747	0.3479918543
748	0.3478100765
749	0.3477516983
750	0.3476951199
751	0.3476713283
752	0.3476338364
753	0.347508424
754	0.3474224512
755	0.3472501341
756	0.3472320058
757	0.3471850974
758	0.3471417088
759	0.3470596475
760	0.346981592
761	0.3469370814
762	0.3469147524
763	0.3468561648
764	0.3467801286
765	0.346595014
766	0.3465539656
767	0.3465023712
768	0.3464073553
769	0.3463690062
770	0.3462416212
771	0.3461717226
772	0.3459973537
773	0.3459610522
774	0.3458450088
775	0.3457020251
776	0.3455559801
777	0.3454013194
778	0.3453455817
779	0.3452609011
780	0.3452429464
781	0.3452220643
782	0.3451723717
783	0.3450669663
784	0.3450019867
785	0.3449217356
786	0.3448260001
787	0.3447902412
788	0.3446166111
789	0.3445543555
790	0.3444130543
791	0.3443021164
792	0.3442928883
793	0.3442565473
794	0.3441491532
795	0.3440818225
796	0.3439803685
797	0.3439701372
798	0.3438566744
799	0.3438018404
800	0.3437201903
801	0.3436764676
802	0.3436383878
803	0.3436224825
804	0.3435890757
805	0.3435028375
806	0.3434481738
807	0.3434297156
808	0.3433916093
809	0.3432073842
810	0.343047423
811	0.3430019968
812	0.3429612742
813	0.3429286796
814	0.3427997327
815	0.3427587848
816	0.3427173504
817	0.3425840462
818	0.3424871905
819	0.3424834386
820	0.3424516458
821	0.3423538651
822	0.3422935024
823	0.3422317357
824	0.3421960101
825	0.3421347812
826	0.3421112446
827	0.3420043772
828	0.3419181365
829	0.3418985939
830	0.3417809454
831	0.3417340465
832	0.3413933985
833	0.3412971374
834	0.3411516413
835	0.3411014722
836	0.3410933316
837	0.3410857055
838	0.3409802801
839	0.3406736112
840	0.3406512502
841	0.3406152535
842	0.3406047523
843	0.3404685909
